timestamp,symbol,open,high,low,close,volume,volume_buy,volume_sell,trade_count,vwap,volatility_hv,bid_ask_spread,ob_imbalance_5,ob_wall_bid,ob_wall_ask,flow_delta_1m,flow_delta_5m,large_trade_count,bid_qty_1,bid_qty_2,bid_qty_3,ask_qty_1,ask_qty_2,ask_qty_3,bid_price_1,ask_price_1,funding_rate,funding_predicted,open_interest,oi_change_1h,long_short_ratio,implied_volatility,iv_rank,delta_exposure,put_call_ratio_vol,put_call_ratio_oi,gamma_strike_1,gamma_strike_2,gamma_strike_3,theta,vega,whale_inflow,whale_outflow,news_sentiment,social_hype_index,fear_greed_index,correlation_spx,correlation_dxy,time_hour,time_day,is_weekend
2025-12-05 06:38:14.576+00,BTCUSDT,93306.97,93621.31,90889,92086.36,16772.23795,,,5200652,92463.82535321,,0.00999999999476131,0.9548656687068309,,,,,,3.7509,0.15153,0.07394,0.09089,0.00074,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:16.535+00,BTCUSDT,93306.97,93621.31,90889,92086.36,0.00012,,,5200652,92463.8245504,,0.00999999999476131,0.9611564667607881,,,,,,3.71942,0.15153,0.074,0.07806,0.00086,6e-05,92086.35,92086.36,,,250140,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:18.415+00,BTCUSDT,93306.96,93621.31,90889,92086.36,0.00499,,,5200658,92463.82326393,,0.00999999999476131,0.9470265689646579,,,,,,3.6801,0.15165,0.074,0.10547,0.00062,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:19.497+00,BTCUSDT,93304.89,93621.31,90889,92086.36,0.00022,,,5200433,92463.81545879,,0.00999999999476131,-0.3548515630255579,,,,,,1.16718,0.00549,0.07394,2.11027,0.00026,0.00012,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:20.103+00,BTCUSDT,93297.64,93621.31,90889,92086.36,0.00019,,,5200262,92463.80567669,,0.00999999999476131,-0.35456177844934206,,,,,,1.16768,0.00555,0.07394,2.10977,0.0002,0.00012,92086.35,92086.36,4.837e-05,,89275.737,,1.7685,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:23.28+00,BTCUSDT,93297.64,93621.31,90889,92086.36,0.01115,,,5200255,92463.7974237,,0.00999999999476131,-0.4347320297678262,,,,,,0.96018,0.00567,0.07388,2.13082,0.00073,0.14927,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:24.335+00,BTCUSDT,93297.63,93621.31,90889,92086.35,16771.73371,,,5200275,92463.7960189,,0.00999999999476131,-0.8709688817279528,,,,,,0.10034,0.00825,0.07388,2.13911,0.00073,0.14927,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:26.226+00,BTCUSDT,93297.64,93621.31,90889,92086.35,0.00042,,,5200276,92463.79569822,,0.00999999999476131,-0.8713246079405079,,,,,,0.09994,0.00809,0.07388,2.13879,0.00073,0.14927,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:26.952+00,BTCUSDT,93297.64,93621.31,90889,92086.35,16771.92883,,,5200288,92463.79043627,,0.00999999999476131,-0.8647790554711795,,,,,,0.10458,0.00839,0.07388,2.06938,0.00012,0.14999,92086.35,92086.36,,,250140,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:28.097+00,BTCUSDT,93325.63,93621.31,90889,92086.35,16770.61587,,,5199711,92463.72428611,,0.00999999999476131,-0.8730887333087679,,,,,,0.09801,0.00881,0.07388,2.10595,0.00092,0.14915,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:30.216+00,BTCUSDT,93325.62,93621.31,90889,92086.35,0.00011,,,5199711,92463.72428303,,0.00999999999476131,-0.8784024455524545,,,,,,0.0979,0.00869,0.07388,2.21889,0.21181,0.35841,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:30.902+00,BTCUSDT,93313.58,93621.31,90889,92086.36,16769.41022,,,5199464,92463.66245432,,0.00999999999476131,-0.8774667371933109,,,,,,0.10084,0.00585,0.07388,2.19774,0.21181,0.35841,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:32.099+00,BTCUSDT,93313.58,93621.31,90889,92086.35,6e-05,,,5199462,92463.66099469,,0.00999999999476131,-0.8759511530269097,,,,,,0.09773,0.00939,0.07388,2.16821,0.21181,0.35841,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:33.115+00,BTCUSDT,93310.98,93621.31,90889,92077.85,0.00014,,,5199523,92463.65132834,,0.00999999999476131,-0.5260276236421766,,,,,,1.86238,0.00147,0.00027,5.8927,0.10933,6e-05,92077.85,92077.86,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:34.327+00,BTCUSDT,93310.97,93621.31,90889,92064.04,0.0006,,,5199994,92463.6434685,,0.010000000009313226,-0.10380079400602243,,,,,,3.37943,0.00404,0.00027,4.00705,6e-05,0.00018,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:35.364+00,BTCUSDT,93310.97,93621.31,90889,92064.05,0.001,,,5199995,92463.64345421,,0.010000000009313226,-0.1064223501321848,,,,,,3.38067,0.00404,0.00027,4.03074,6e-05,0.00018,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:36.209+00,BTCUSDT,93310.98,93621.31,90889,92064.05,0.00797,,,5199995,92463.64288109,,0.010000000009313226,-0.12801530360573166,,,,,,3.25699,0.0041,0.00027,4.05806,0.00044,0.00018,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:36.803+00,BTCUSDT,93310.98,93621.31,90889,92064.05,16769.90728,,,5199996,92463.64267212,,0.010000000009313226,-0.12847625418060196,,,,,,3.25271,0.00416,0.00033,4.05669,0.00038,0.00018,92064.04,92064.05,,,250132,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:39.396+00,BTCUSDT,93310.97,93621.31,90889,92064.05,16769.80594,,,5199964,92463.6370684,,0.010000000009313226,-0.7950283347598746,,,,,,0.50074,0.00404,0.00039,4.22545,0.00168,0.00018,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:41.203+00,BTCUSDT,93310.97,93621.31,90889,92064.04,0.00039,,,5199965,92463.63677837,,0.010000000009313226,-0.7050242268804339,,,,,,0.7328,0.00392,0.00039,4.06157,0.00186,0.00018,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:42.526+00,BTCUSDT,93310.97,93621.31,90889,92064.05,16769.80877,,,5199942,92463.63323264,,0.010000000009313226,-0.38553051615580414,,,,,,1.87634,0.00374,0.00039,4.00239,0.00186,0.00018,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:44.401+00,BTCUSDT,93310.98,93621.31,90889,92064.05,16769.73495,,,5199945,92463.62711141,,0.010000000009313226,-0.3593597888499376,,,,,,1.96667,0.00374,0.00039,3.97817,0.00602,0.00018,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:46.46+00,BTCUSDT,93310.98,93621.31,90889,92064.04,0.00023,,,5199936,92463.62309289,,0.010000000009313226,-0.34553631459242795,,,,,,2.03017,0.00374,0.00039,3.97876,0.00602,0.00018,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:47.504+00,BTCUSDT,93310.98,93621.31,90889,92064.05,0.432,,,5199928,92463.5987204,,0.010000000009313226,-0.043865713835794205,,,,,,3.18262,0.00362,0.00132,3.38485,0.00602,0.00018,92064.04,92064.05,,,250132,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:49.78+00,BTCUSDT,93310.97,93621.31,90889,92064.05,0.0006,,,5199928,92463.58729705,,0.010000000009313226,0.9529001562087379,,,,,,4.35875,0.00296,0.00132,0.09827,0.00678,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:50.849+00,BTCUSDT,93311.26,93621.31,90889,92076.17,0.00477,,,5199872,92463.58145709,,0.00999999999476131,0.9936647585446807,,,,,,6.24531,6e-05,6e-05,0.01854,0.00114,6e-05,92070.78,92070.79,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:51.577+00,BTCUSDT,93311.27,93621.31,90889,92076.17,0.03682,,,5200090,92463.57474674,,0.00999999999476131,0.9107006599907176,,,,,,5.96283,0.10901,6e-05,0.28287,0.00072,9e-05,92076.16,92076.17,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:51.964+00,BTCUSDT,93313.65,93621.31,90889,92076.17,16769.78074,,,5199800,92463.5693152,,0.00999999999476131,0.9980722628942964,,,,,,5.75699,0.10901,6e-05,0.00315,0.00233,6e-05,92076.16,92076.17,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:53.811+00,BTCUSDT,93313.64,93621.31,90889,92077.86,0.00018,,,5199813,92463.56931216,,0.00999999999476131,0.9986107895346144,,,,,,2.9375,0.12156,1.45426,0.00018,6e-05,6e-05,92078.46,92078.47,,,,,,,,,,,,,,,,,,,,,,,,,
